VALOR DO M2 DO TERRENO;VALOR DO M2 DE CONSTRUCAO
4143.0;1894.0
5400.0;2211.0
3372.0;2211.0
8705.0;2211.0
2553.0;1894.0
1467.0;1894.0
2320.0;3186.0
1257.0;1642.0
897.0;1314.0
1257.0;1642.0
2336.0;2737.0
3453.0;2211.0
3752.0;1894.0
574.0;919.0
1338.0;1423.0
229.0;0.0
4118.0;2737.0
2612.0;3186.0
2687.0;2211.0
1408.0;1894.0
4174.0;2211.0
1373.0;1894.0
5023.0;1894.0
1649.0;1960.0
1649.0;1960.0
1576.0;1960.0
2974.0;1894.0
1957.0;2737.0
2406.0;2211.0
1819.0;1642.0
2336.0;3186.0
1132.0;1423.0
2952.0;2211.0
1697.0;1894.0
2976.0;2211.0
1051.0;1642.0
1051.0;1642.0
5400.0;2211.0
4923.0;2737.0
1466.0;0.0
7847.444444444444;2123.4444444444443
1298.0;1642.0
3937.0;3186.0
5708.0;1894.0
2820.0;1894.0
2820.0;1894.0
3839.0;2737.0
1408.0;1894.0
2603.0;2288.0
396.0;0.0
2100.0;2737.0
3004.0;2211.0
1660.0;1960.0
2560.0;2211.0
2320.0;2737.0
2082.0;2211.0
3773.0;1423.0
4260.0;1926.5
4934.0;2967.0
2952.0;2211.0
1257.0;1960.0
2338.0;2211.0
999.0;1642.0
5400.0;2211.0
4118.0;2211.0
3548.0;2737.0
1373.0;1894.0
3372.0;2211.0
4143.0;1894.0
4143.0;1894.0
2667.0;1894.0
291.0;558.0
1073.0;1423.0
1257.0;1642.0
897.0;1314.0
2336.0;2737.0
3310.0;2737.0
2645.0;1894.0
1249.0;1423.0
2687.0;2211.0
4235.0;2737.0
1408.0;1894.0
1373.0;1894.0
4953.0;1894.0
1073.0;1423.0
5023.0;1894.0
5023.0;1894.0
462.0;2354.0
5869.0;2737.0
1957.0;2737.0
1819.0;1642.0
2406.0;2211.0
2336.0;3186.0
1338.0;1423.0
1609.5;1926.5
5251.0;2288.0
1051.0;1642.0
3779.0;2737.0
2311.5;2211.0
5400.0;2211.0
4118.0;2211.0
2692.0;1894.0
4143.0;1894.0
4143.0;1894.0
3017.0;2737.0
1340.7272727272727;1642.0
1257.0;1642.0
2336.0;2737.0
7336.0;2737.0
2687.0;2211.0
4235.0;2737.0
2483.0;1894.0
1408.0;1894.0
3839.0;2737.0
2634.0;1894.0
2100.0;2737.0
1649.0;1960.0
2560.0;2737.0
1660.0;1960.0
1497.0;1642.0
2320.0;2737.0
1912.0;2211.0
1568.0;2211.0
3773.0;1423.0
1458.0;2211.0
4869.0;2474.0
999.0;1642.0
2952.0;2211.0
2711.0;2211.0
2976.0;2211.0
4143.0;1894.0
5490.0;2737.0
1934.0;2211.0
3310.0;2737.0
1257.0;1642.0
897.0;1314.0
3453.0;2211.0
2645.0;1894.0
179.6315789473684;436.63157894736844
1373.0;1894.0
4235.0;2737.0
3372.0;2211.0
1408.0;1894.0
2612.0;3186.0
5023.0;1894.0
5023.0;1894.0
3004.0;2211.0
1649.0;1960.0
5869.0;2737.0
2974.0;1894.0
1957.0;2737.0
2336.0;3186.0
2406.0;2211.0
1819.0;1642.0
1458.0;2211.0
1144.0;1171.0
1701.0;1642.0
2711.0;2211.0
1051.0;1642.0
1051.0;1642.0
5400.0;2211.0
4923.0;2737.0
4118.0;2211.0
3548.0;2737.0
1373.0;1894.0
2692.0;1894.0
4118.0;2211.0
4143.0;1894.0
1345.0;1642.0
1357.0;1894.0
2687.0;2211.0
2603.0;2288.0
3839.0;2737.0
1373.0;1894.0
1408.0;1894.0
2612.0;3186.0
2100.0;2737.0
6250.0;3186.0
1660.0;1960.0
2320.0;2737.0
1458.0;2211.0
3842.0;2737.0
1568.0;2211.0
1338.0;1423.0
1846.3333333333333;2007.0
4118.0;2211.0
1051.0;1642.0
4143.0;1894.0
5400.0;2211.0
4118.0;2211.0
4143.0;1894.0
3149.0;3186.0
1257.0;1642.0
897.0;1314.0
1257.0;1642.0
2336.0;2737.0
2336.0;2737.0
7336.0;2737.0
3453.0;2211.0
1357.0;1894.0
448.0;919.0
4235.0;2737.0
1408.0;1894.0
2612.0;3186.0
5023.0;1894.0
462.0;1642.0
2560.0;2737.0
5869.0;2737.0
1819.0;1642.0
1576.0;1960.0
3773.0;1423.0
2406.0;2211.0
487.0;766.0
2336.0;3186.0
1701.0;1642.0
1257.0;1960.0
1051.0;1642.0
999.0;1642.0
1051.0;1642.0
4143.0;1894.0
306.0;0.0
4923.0;2737.0
5400.0;2211.0
4118.0;2211.0
3372.0;2211.0
487.0;919.0
1401.0;0.0
2976.0;2737.0
1408.0;1894.0
2612.0;3186.0
1373.0;1894.0
1616.0;2211.0
2974.0;1894.0
2100.0;2737.0
1649.0;1960.0
2320.0;2737.0
