Classe;Número do RIP;UF;Município;Endereço;Bairro;Conceituação;Tipo Imóvel;Situação da Utilização;Proprietário Oficial;Regime de Utilização;CEP DO IMOVEL;VALOR DO M2 DO TERRENO;VALOR DO M2 DE CONSTRUCAO
DOMINIAL;7107010003519;SP;SAO PAULO;R GENERAL CARNEIRO 225 CONJ 43 ED SOLAR CEP: 01015000;CENTRO;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;1015000;11492.64705882353;1918.8088235294117
DOMINIAL;7107000026524;SP;SAO PAULO;R GENERAL SOCRATES 169 LOTE 17 REMANESCENTE CEP: 03632040;PENHA DE FRANCA;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;3632040;1114.9737704918032;1332.8524590163934
DOMINIAL;7107010005996;SP;SAO PAULO;R BOA VISTA 128 UNIDADE AUTONOMA 1010 CEP: 01014000;CENTRO;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;1014000;5668.282091917591;2298.4960380348653
DOMINIAL;7107000000800;SP;SAO PAULO;R GENERAL SOCRATES 25 PARTE DO LOTE 2 CEP: 03632040;PENHA DE FRANCA;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;3632040;1114.9737704918032;1332.8524590163934
DOMINIAL;7107010001818;SP;SAO PAULO;R GEN SOCRATES 391 PARTE DO LOTE 37 CEP: 03632000;PENHA DE FRANCA;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;3632000;1233.9272727272728;1228.2863636363636
DOMINIAL;7107000012655;SP;SAO PAULO;R QUINZE DE NOVEMBRO 184 CJ 1803 - COND DAS BANDEIRAS CEP: 01013000;CENTRO;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;1013000;5651.013986013986;2270.7062937062938
DOMINIAL;7107000010873;SP;SAO PAULO;R QUINZE DE NOVEMBRO 184 CJ 1104 - COND DAS BANDEIRAS CEP: 01013000;CENTRO;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;1013000;5651.013986013986;2270.7062937062938
DOMINIAL;7107010011295;SP;SAO PAULO;R GENERAL CARNEIRO 115 PAV 18, EDIF VISTA ALEGRE CEP: 01015000;CENTRO;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;1015000;11492.64705882353;1918.8088235294117
DOMINIAL;7107010004086;SP;SAO PAULO;R GENERAL CARNEIRO 225 CONJ 81 ED SOLAR CEP: 01015000;CENTRO;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;1015000;11492.64705882353;1918.8088235294117
DOMINIAL;7107000015328;SP;SAO PAULO;R GENERAL CARNEIRO 115 LOJA -PAV 4 5 6 EDIF VISTA ALEGRE CEP: 01015000;CENTRO;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;1015000;11492.64705882353;1918.8088235294117
DOMINIAL;7107010007778;SP;SAO PAULO;R GEN SOCRATES 177 PARTE DO LOTE 19 CEP: 03632000;PENHA FRANCA;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;3632000;1233.9272727272728;1228.2863636363636
DOMINIAL;7107010010647;SP;SAO PAULO;R QUINZE DE NOVEMBRO 184 CONJ 1704 COND DAS BANDEIRAS CEP: 01013000;CENTRO;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;1013000;5651.013986013986;2270.7062937062938
DOMINIAL;7107000010369;SP;SAO PAULO;R QUINZE DE NOVEMBRO 184 CJ 902 - COND DAS BANDEIRAS CEP: 01013000;CENTRO;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;1013000;5651.013986013986;2270.7062937062938
DOMINIAL;7107000013112;SP;SAO PAULO;R BOA VISTA 63 PAV 9 CONJ I EDIF BOA VISTA CEP: 01014000;SE SAO PAULO;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;1014000;5668.282091917591;2298.4960380348653
