classe;numero_do_rip;uf;municipio;endereco;bairro;conceituacao;tipo_imovel;situacao_da_utilizacao;proprietario_oficial;regime_de_utilizacao;cep_do_imovel;valor_do_m2_do_terreno;valor_do_m2_de_construcao;normal_value_terreno;normal_value_construcao
DOMINIAL;7107010009630;SP;SAO PAULO;R GENERAL CARNEIRO 115 11 PAVTO EDIFICIO BANCO CONTINENTAL CEP: 01015000;CENTRO;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;1015000;11492.64705882353;1918.808823529412;1.0;0.2132776047096964
DOMINIAL;7107000022960;SP;SAO PAULO;R BOA VISTA 162 2 AND ED BANDEIRANTES CEP: 01014000;CENTRO;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;1014000;5668.282091917592;2298.4960380348653;0.304924832322154;0.6902565125998322
DOMINIAL;7107000024319;SP;SAO PAULO;R QUINZE DE NOVEMBRO 184 CJ 906 - COND DAS BANDEIRAS CEP: 01013000;CENTRO;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;1013000;5651.013986013985;2270.7062937062938;0.30286407004598703;0.6553458772294707
DOMINIAL;7107000019234;SP;SAO PAULO;R BOA VISTA 63 PAVIMENTO 5 EDIF BOA VISTA CEP: 01014000;CENTRO;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;1014000;5668.282091917592;2298.4960380348653;0.304924832322154;0.6902565125998322
DOMINIAL;7107010010132;SP;SAO PAULO;R GAL SOCRATES 443 LT B - PARTE DO LOTES 41 42 43 E 44REM CEP: 03632000;PENHA DE FRANCA;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;3632000;1233.9272727272728;1228.2863636363636;1.0;0.539531875927077
DOMINIAL;7107010003276;SP;SAO PAULO;R GENERAL CARNEIRO 225 CONJ 34 ED SOLAR CEP: 01015000;CENTRO;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;1015000;11492.64705882353;1918.808823529412;1.0;0.2132776047096964
DOMINIAL;7107000011764;SP;SAO PAULO;R QUINZE DE NOVEMBRO 184 CJ 1305 - COND DAS BANDEIRAS CEP: 01013000;CENTRO;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;1013000;5651.013986013985;2270.7062937062938;0.30286407004598703;0.6553458772294707
DOMINIAL;7107000017967;SP;SAO PAULO;R GENERAL SOCRATES 225 LOTE 22 B II CEP: 03632040;PENHA DE FRANCA;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;3632040;1114.9737704918032;1332.8524590163934;0.8188690467942198;1.0
DOMINIAL;7107000011411;SP;SAO PAULO;R QUINZE DE NOVEMBRO 184 CJ 1206 - COND DAS BANDEIRAS CEP: 01013000;CENTRO;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;1013000;5651.013986013985;2270.7062937062938;0.30286407004598703;0.6553458772294707
DOMINIAL;7107010009983;SP;SAO PAULO;PC PADRE MANUEL DA NOBREGA 21 CONJ 52 EDIF CLAUDIO MONTEIRO SOARES CEP: 01015010;CENTRO;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;1015010;8328.393442622952;2098.901639344262;0.6223804439878318;0.4395177079433881
